,movie,B2_freq,A2_freq,A1_freq,B1_freq,C1_freq,B2_rate,A2_rate,A1_rate,B1_rate,C1_rate,qty,ne,avg_length,level
28,Crazy4TV.com - Suits.S06E04.720p.BluRay.x265.HEVC.Crazy4ad,0.0772,0.1384,0.3448,0.0755,0.0308,0.0998,0.1586,0.2626,0.105,0.0378,2955.0,0.0088,1.9,B2
29,Crazy4TV.com - Suits.S06E05.720p.BluRay.x265.HEVC.Crazy4ad,0.0928,0.1178,0.3259,0.0883,0.0475,0.1128,0.1421,0.2733,0.1095,0.0423,2887.0,0.0104,1.9,B2
30,Crazy4TV.com - Suits.S06E06.720p.BluRay.x265.HEVC.Crazy4ad,0.0903,0.1236,0.3374,0.0843,0.0333,0.1072,0.1493,0.266,0.1062,0.0373,3213.0,0.0106,1.9,B2
31,Crazy4TV.com - Suits.S06E07.720p.BluRay.x265.HEVC.Crazy4ad,0.0941,0.1154,0.3344,0.0841,0.0359,0.1246,0.1469,0.2462,0.1003,0.0486,3008.0,0.012,1.9,B2
32,Crazy4TV.com - Suits.S06E08.720p.BluRay.x265.HEVC.Crazy4ad,0.0863,0.1038,0.3332,0.0825,0.0276,0.1057,0.1494,0.254,0.1046,0.0379,2968.0,0.0111,1.7,B2
33,Crazy4TV.com - Suits.S06E09.720p.BluRay.x265.HEVC.Crazy4ad,0.0852,0.1107,0.3114,0.0944,0.0357,0.1226,0.138,0.2389,0.1071,0.0515,2945.0,0.0102,1.9,B2
34,Crazy4TV.com - Suits.S06E10.720p.BluRay.x265.HEVC.Crazy4ad,0.0943,0.1189,0.3017,0.078,0.0358,0.1135,0.1517,0.2601,0.1022,0.031,2960.0,0.0132,1.9,B2
35,Crazy4TV.com - Suits.S06E11.720p.BluRay.x265.HEVC.Crazy4ad,0.0945,0.1306,0.3539,0.0781,0.0275,0.1033,0.1505,0.256,0.1088,0.0396,2803.0,0.0089,1.9,B2
36,Crazy4TV.com - Suits.S06E12.720p.BluRay.x265.HEVC.Crazy4ad,0.0729,0.125,0.3792,0.0914,0.0301,0.0972,0.1575,0.2905,0.1151,0.0391,2592.0,0.01,2.0,B2
37,Crazy4TV.com - Suits.S06E13.720p.BluRay.x265.HEVC.Crazy4ad,0.0829,0.1327,0.3367,0.1046,0.0274,0.0978,0.1643,0.2581,0.12,0.0393,2991.0,0.0094,2.0,B2
